City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,thompson,55.7435,-97.8558,1.09,93,75,1.54,CA,1706660390
161,sunel,24.3667,75.9667,17.29,40,100,1.22,IN,1706660390
162,nuuk,64.1835,-51.7216,-9.66,44,75,12.35,GL,1706660390
163,tabou,4.423,-7.3528,26.99,84,85,3.73,CI,1706660391
164,aykhal,66.0,111.5,-22.76,99,100,1.37,RU,1706660139
165,uturoa,-16.7333,-151.4333,29.08,73,100,4.73,PF,1706660391
166,codrington,-38.2667,141.9667,19.06,60,9,4.84,AU,1706660391
167,ust-nera,64.5667,143.2,-32.24,99,100,1.93,RU,1706660392
168,leer,53.2316,7.461,6.07,94,100,5.33,DE,1706660392
169,yazd,31.8972,54.3675,6.06,49,40,4.12,IR,1706660392
170,alaghsas,17.0187,8.0168,18.59,24,86,9.4,NE,1706660392
171,mokopane,-24.1944,29.0097,18.82,71,26,2.04,ZA,1706660392
172,crane,31.3974,-102.3501,17.9,32,56,2.65,US,1706660393
173,tateyama,34.9833,139.8667,10.61,56,5,3.28,JP,1706660393
174,sinop,41.7711,34.8709,0.14,90,91,0.65,TR,1706660393
175,paracuru,-3.41,-39.0306,28.95,81,2,4.47,BR,1706660393
176,alice springs,-23.7,133.8833,33.75,11,92,9.77,AU,1706660257
177,undurkhaan,47.3194,110.6556,-32.5,100,38,1.78,MN,1706660393
178,brookings,44.3114,-96.7984,4.0,87,0,3.09,US,1706660394
179,vilyuchinsk,52.9306,158.4028,-14.48,66,100,2.11,RU,1706660394
180,metlili chaamba,32.2667,3.6333,9.52,66,0,3.09,DZ,1706660394
181,saipan,15.1355,145.701,27.39,61,75,8.75,MP,1706660394
182,viedma,-40.8135,-62.9967,25.1,56,50,5.42,AR,1706660394
183,saimbeyli,37.9863,36.0906,0.32,78,99,2.35,TR,1706660395
184,amiens,49.9,2.3,6.69,86,83,1.79,FR,1706660395
185,necochea,-38.5473,-58.7368,19.96,90,20,2.54,AR,1706660395
186,uchiza,-8.4592,-76.4633,24.23,94,100,1.32,PE,1706660395
187,ziro,27.6333,93.8333,2.41,95,72,1.04,IN,1706660396
188,dalnegorsk,44.5604,135.5701,-5.22,89,100,0.89,RU,1706660396
189,tolanaro,-25.0319,46.9987,23.07,87,41,4.52,MG,1706660396
190,villa gesell,-37.2639,-56.973,21.7,72,23,6.72,AR,1706660396
191,benalla,-36.55,145.9833,24.26,38,0,3.84,AU,1706660396
192,kapa'a,22.0752,-159.319,25.82,74,75,3.09,US,1706660397
193,kone,-21.0595,164.8658,28.89,64,90,0.76,NC,1706660397
194,imperatriz,-5.5264,-47.4917,24.07,94,96,0.51,BR,1706660397
195,meiktila,20.8667,95.8667,15.51,39,59,2.29,MM,1706660397
196,sretensk,52.2453,117.7093,-30.52,99,100,1.01,RU,1706660397
197,minzhu,43.7286,127.3447,-14.28,90,100,2.73,CN,1706660398
198,talcahuano,-36.7167,-73.1167,21.82,53,0,6.69,CL,1706660398
199,port alfred,-33.5906,26.891,21.77,92,100,1.49,ZA,1706660398
200,howard springs,-12.497,131.047,29.93,93,75,5.35,AU,1706660398
201,escanaba,45.7453,-87.0646,2.2,87,100,2.57,US,1706660205
202,mirpur sakro,24.5474,67.6277,21.5,83,100,4.07,PK,1706660398
203,omaruru,-21.4333,15.9333,22.84,49,39,0.95,,1706660399
204,leua,48.2156,18.6071,1.39,83,27,1.81,SK,1706660399
205,udachny,66.4167,112.4,-22.53,83,99,1.11,RU,1706660399
206,harnosand,62.6323,17.9379,-14.0,86,85,2.88,SE,1706660399
207,neustadt (hessen),50.85,9.1167,8.39,76,93,3.32,DE,1706660399
208,turinsk,58.0458,63.696,-9.52,95,100,3.17,RU,1706660399
209,jamaame,0.0697,42.745,25.26,87,97,3.2,SO,1706660400
210,masterton,-40.9597,175.6575,22.71,76,100,1.79,NZ,1706660400
211,meulaboh,4.1363,96.1285,24.33,91,71,1.24,ID,1706660400
212,luderitz,-26.6481,15.1594,17.07,95,1,5.84,,1706660401
213,bam,29.106,58.357,8.9,34,6,2.91,IR,1706660401
214,ulsteinvik,62.3432,5.8487,6.15,72,88,10.73,NO,1706660401
215,kotri,25.366,68.3122,19.9,83,100,4.68,PK,1706660402
216,susuman,62.7833,148.1667,-36.12,100,97,0.45,RU,1706660402
217,askoy,60.4092,5.226,2.65,100,100,4.63,NO,1706660403
218,port lincoln,-34.7333,135.8667,18.61,61,1,5.72,AU,1706660403
219,chilaw,7.5758,79.7953,25.26,88,14,6.52,LK,1706660403
220,kruisfontein,-34.0033,24.7314,18.82,87,100,2.9,ZA,1706660404
221,port saint john's,-31.6229,29.5448,21.51,99,100,1.14,ZA,1706660404
222,chipinge,-20.1883,32.6236,17.23,93,38,2.62,ZW,1706660404
223,ubari,26.5921,12.7805,7.33,55,0,3.61,LY,1706660404
224,dongola,19.1667,30.4833,12.78,38,0,5.23,SD,1706660405
225,astorga,-23.2325,-51.6656,22.66,46,5,2.08,BR,1706660405
226,tongchuanshi,35.0806,109.0897,0.82,77,82,1.29,CN,1706660405
227,kargat,55.1956,80.2811,-18.0,95,100,2.84,RU,1706660406
228,vorgashor,67.5833,63.95,-13.18,95,100,4.92,RU,1706660406
229,queenstown,-31.8976,26.8753,18.96,96,99,1.24,ZA,1706660406
230,maksatikha,57.797,35.8825,-4.17,99,100,2.06,RU,1706660406
231,colonia,50.9333,6.95,8.31,79,75,3.6,DE,1706660406
232,jiangzi,28.95,89.6333,-11.81,63,1,2.78,CN,1706660407
233,hotan,37.0997,79.9269,-1.36,52,97,1.87,CN,1706660407
234,opuwo,-18.0607,13.84,21.55,74,98,1.12,,1706660408
235,correntina,-13.3433,-44.6367,22.48,88,88,1.49,BR,1706660408
